summary_id,fiscal_year,metric_id,value,unit,reported_increment,declared_scale,availability_status,characterization
udc_2025_total_revenue_control,2025,total_revenue_control,650611,USD_thousands,1,0,available,issuer_reported_total_control
udc_2024_total_revenue_control,2024,total_revenue_control,647684,USD_thousands,1,0,available,issuer_reported_total_control
udc_2023_total_revenue_control,2023,total_revenue_control,576429,USD_thousands,1,0,available,issuer_reported_total_control
udc_2025_total_accounts_receivable_control,2025,total_accounts_receivable_control,119953,USD_thousands,1,0,available,issuer_reported_total_control
udc_2024_total_accounts_receivable_control,2024,total_accounts_receivable_control,113648,USD_thousands,1,0,available,issuer_reported_total_control
udc_2025_disclosed_top_three_revenue_share,2025,disclosed_top_three_revenue_share,79,percent,1,0,available,sum_of_reported_whole_percentage_shares
udc_2024_disclosed_top_three_revenue_share,2024,disclosed_top_three_revenue_share,82,percent,1,0,available,sum_of_reported_whole_percentage_shares
udc_2023_disclosed_top_three_revenue_share,2023,disclosed_top_three_revenue_share,76,percent,1,0,available,sum_of_reported_whole_percentage_shares
udc_2025_disclosed_accounts_receivable_subtotal,2025,disclosed_accounts_receivable_subtotal,103481,USD_thousands,1,0,available,sum_of_disclosed_customer_ar_for_year_with_total_ar_control
udc_2024_disclosed_accounts_receivable_subtotal,2024,disclosed_accounts_receivable_subtotal,76908,USD_thousands,1,0,available,sum_of_disclosed_customer_ar_for_year_with_total_ar_control
udc_2025_accounts_receivable_coverage_percent,2025,accounts_receivable_coverage_percent,86.267955,percent,0.000001,6,available,derived_reported_customer_ar_coverage_at_declared_scale
udc_2024_accounts_receivable_coverage_percent,2024,accounts_receivable_coverage_percent,67.672110,percent,0.000001,6,available,derived_reported_customer_ar_coverage_at_declared_scale
udc_2023_accounts_receivable_coverage_percent,2023,accounts_receivable_coverage_percent,,percent,0.000001,6,unavailable,unavailable_without_frozen_total_accounts_receivable_control
udc_2025_reported_share_hhi_contribution,2025,reported_share_hhi_contribution,2515,hhi_points,1,0,available,incomplete_reported_share_contribution_only
udc_2024_reported_share_hhi_contribution,2024,reported_share_hhi_contribution,2634,hhi_points,1,0,available,incomplete_reported_share_contribution_only
udc_2023_reported_share_hhi_contribution,2023,reported_share_hhi_contribution,2114,hhi_points,1,0,available,incomplete_reported_share_contribution_only
