mapping_row_id,mapping_version,scope_id,entity_id,account_code,account_name,mapping_action,statement_line_id,presentation_multiplier,effective_start,effective_end,status,reviewed_on,evidence
map-4000-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,4000,Domestic product sales,include,net_sales,-1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-4010-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,4010,International product sales,include,net_sales,-1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-5000-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,5000,Materials and production cost,include,cost_of_products_sold,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-5010-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,5010,Freight and other product cost,include,cost_of_products_sold,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-6000-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,6000,Selling general and administrative,include,selling_general_and_administrative,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-6100-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,6100,Advertising and sales promotion,include,advertising_and_sales_promotion,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-6200-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,6200,Definite lived intangible amortization,include,amortization_of_definite_lived_intangible_assets,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-7000-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,7000,Interest income,include,interest_income,-1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-7100-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,7100,Interest expense,include,interest_expense,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-7200-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,7200,Other income or expense net,include,other_income_expense_net,-1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-8000-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,8000,Income tax provision or benefit,include,provision_for_income_taxes,1,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic fixture design; not an issuer account
map-9999-v1,wd40-synthetic-coa.v1,wd40_fy2025_synthetic_consolidated,wd40_company_synthetic_entity,9999,Monthly P and L clearing,exclude,,,2024-09-01,2025-08-31,reviewed,2026-07-23,Reviewed synthetic balancing account; excluded from the P and L
