Date,Brand,Category,Region,SKU,Sales,Units,MarginRate
2025-01-01,Aurora,Color,North,AUR-01,120000,12000,0.310
2025-01-01,Bloom,Care,North,BLO-01,90000,7500,0.270
2025-01-01,Cinder,Color,South,CIN-01,80000,8000,0.290
2025-01-01,Dune,Care,South,DUN-01,70000,5600,0.250
2025-02-01,Aurora,Color,North,AUR-01,126000,12000,0.315
2025-02-01,Bloom,Care,North,BLO-01,96000,8000,0.275
2025-02-01,Cinder,Color,South,CIN-01,84000,8000,0.295
2025-02-01,Dune,Care,South,DUN-01,73500,5600,0.255
2026-01-01,Aurora,Color,North,AUR-01,138000,12500,0.325
2026-01-01,Bloom,Care,North,BLO-01,99000,7800,0.280
2026-01-01,Cinder,Color,South,CIN-01,92000,8500,0.305
2026-01-01,Dune,Care,South,DUN-01,76000,5750,0.260
2026-02-01,Aurora,Color,North,AUR-01,145000,12800,0.330
2026-02-01,Bloom,Care,North,BLO-01,104000,8100,0.285
2026-02-01,Cinder,Color,South,CIN-01,97000,8700,0.310
2026-02-01,Dune,Care,South,DUN-01,80000,5900,0.265
