Date,Entry,Line,Account,Description,Debit,Credit,Document,Reference
2026-03-05,INV-1,1,6100,Services,1000.00,0.00,DEMO-001,
2026-03-05,INV-1,2,1400,Input VAT,220.00,0.00,DEMO-001,
2026-03-05,INV-1,3,2100,Trade payables,0.00,1220.00,DEMO-001,
2026-03-12,INV-2,1,6100,Services,600.00,0.00,DEMO-002,
2026-03-12,INV-2,2,1400,Input VAT,132.00,0.00,DEMO-002,
2026-03-12,INV-2,3,2100,Trade payables,0.00,732.00,DEMO-002,
2026-03-22,INV-3,1,6100,Services,400.00,0.00,DEMO-003,
2026-03-22,INV-3,2,1400,Input VAT,88.00,0.00,DEMO-003,
2026-03-22,INV-3,3,2100,Trade payables,0.00,488.00,DEMO-003,
2026-03-18,PAY-1,1,2100,Supplier payment,1220.00,0.00,DEMO-001,TRN-001
2026-03-18,PAY-1,2,1000,Bank payment,0.00,1220.00,DEMO-001,TRN-001
2026-03-25,PAY-2,1,2100,Supplier payment,732.00,0.00,DEMO-002,TRN-002
2026-03-25,PAY-2,2,1000,Bank payment,0.00,732.00,DEMO-002,TRN-002
